Tiempo inicio de picado,Tiempo Fin de picado,Amplitud,Excepción
2018-01-03T09:20:40.080000Z,2018-01-03T09:21:36.680000Z,798.3573374905529,No
2018-01-03T10:22:28.560000Z,2018-01-03T10:23:01.420000Z,510.5605012533064,No
2018-01-03T12:32:40.440000Z,2018-01-03T12:32:55.940000Z,889.5116967360668,No
2018-01-03T16:50:40.140000Z,2018-01-03T16:51:13.540000Z,988.2892822173192,No
2018-01-03T22:21:36.740000Z,2018-01-03T22:21:53.700000Z,691.670841087992,No
2018-01-03T22:59:34.500000Z,2018-01-03T22:59:54.400000Z,4600.319034723791,No
2018-01-03T23:52:55.720000Z,2018-01-03T23:53:13.420000Z,616.8724664992558,No
2018-01-04T02:41:35.520000Z,2018-01-04T02:41:59.580000Z,1173.098379423742,No
2018-01-04T03:15:10.260000Z,2018-01-04T03:15:28.220000Z,815.1386883435405,No
2018-01-04T04:17:52.460000Z,2018-01-04T04:18:17.940000Z,3738.6594397841645,No
2018-01-04T06:12:34.480000Z,2018-01-04T06:13:08.420000Z,738.1687850937544,No
2018-01-04T06:45:13.080000Z,2018-01-04T06:45:28.740000Z,4482.460413530914,No
2018-01-04T07:32:47.740000Z,2018-01-04T07:33:04.620000Z,510.65039114250385,No
2018-01-04T08:33:09.760000Z,2018-01-04T08:35:41.580000Z,1031.3203131775783,No
2018-01-04T08:47:57.440000Z,2018-01-04T08:48:13.940000Z,647.8886739159274,No
2018-01-04T10:37:43.960000Z,2018-01-04T10:38:01.200000Z,717.8579524743998,No
2018-01-04T13:12:54.900000Z,2018-01-04T13:13:14.200000Z,1736.937193394443,No
2018-01-04T13:24:41.120000Z,2018-01-04T13:24:58.880000Z,865.550073286642,No
2018-01-05T01:32:22.500000Z,2018-01-05T01:32:47.080000Z,521.4735982419951,Si.
2018-01-05T02:19:24.980000Z,2018-01-05T02:19:41.160000Z,601.1106623178633,No
2018-01-05T03:32:31.220000Z,2018-01-05T03:33:02.420000Z,10218.210837793446,Si.
2018-01-05T04:29:03.880000Z,2018-01-05T04:29:22.960000Z,723.7775757692649,No
2018-01-05T05:59:28.540000Z,2018-01-05T05:59:44.340000Z,1458.1020970320244,No
2018-01-05T06:59:43.560000Z,2018-01-05T07:00:16.520000Z,746.4933100103625,Si.
2018-01-05T07:12:52.720000Z,2018-01-05T07:13:56.740000Z,653.8317809804335,No
2018-01-05T08:30:44.360000Z,2018-01-05T08:31:00.400000Z,692.933016473785,No
2018-01-05T14:22:53.920000Z,2018-01-05T14:23:10.900000Z,578.4999345436389,No
2018-01-05T15:56:51.200000Z,2018-01-05T15:57:41.520000Z,985.6770831136024,No
2018-01-05T17:22:20.700000Z,2018-01-05T17:22:42.460000Z,597.592905213853,No
2018-01-05T18:20:55.560000Z,2018-01-05T18:21:17.260000Z,10484.075970155123,No
2018-01-05T19:00:24.400000Z,2018-01-05T19:00:42.920000Z,4238.26837544338,No
2018-01-05T19:35:00.500000Z,2018-01-05T19:35:17.660000Z,548.6713334215012,No
2018-01-05T19:39:05.200000Z,2018-01-05T19:39:25.600000Z,3696.0255055633993,Si.
2018-01-06T00:31:42.120000Z,2018-01-06T00:32:45.700000Z,1113.0964075337283,Si.
2018-01-06T00:55:21.640000Z,2018-01-06T00:57:53.500000Z,509.7319740805606,No
2018-01-06T02:15:49.180000Z,2018-01-06T02:16:06.280000Z,1338.308188281522,No
2018-01-06T07:33:03.960000Z,2018-01-06T07:33:19.740000Z,533.33274224032,No
2018-01-06T09:34:35.000000Z,2018-01-06T09:34:50.120000Z,1069.3214272388482,No
2018-01-06T11:34:55.340000Z,2018-01-06T11:35:14.500000Z,1220.2819449167032,No
2018-01-06T13:09:09.820000Z,2018-01-06T13:09:27.640000Z,2503.900027620248,No
2018-01-06T14:01:18.060000Z,2018-01-06T14:02:49.180000Z,638.7661459593797,No
2018-01-06T14:23:52.040000Z,2018-01-06T14:24:00.980000Z,526.5760714064835,No
2018-01-06T15:41:46.780000Z,2018-01-06T15:42:05.220000Z,784.4418265991352,No
2018-01-06T16:41:00.940000Z,2018-01-06T16:41:49.640000Z,917.8003402432747,No
2018-01-06T17:13:31.880000Z,2018-01-06T17:13:53.180000Z,525.9352307602254,No
2018-01-06T18:09:33.320000Z,2018-01-06T18:10:58.460000Z,554.1374053683527,No
2018-01-06T19:26:22.120000Z,2018-01-06T19:26:37.400000Z,662.59540551229,No
2018-01-06T19:28:19.840000Z,2018-01-06T19:28:37.360000Z,583.7187676258415,No
2018-01-06T19:30:55.520000Z,2018-01-06T19:31:50.520000Z,19070.756073283006,No
2018-01-06T22:48:00.320000Z,2018-01-06T22:48:22.400000Z,624.0720593801595,No
2018-01-07T00:37:22.480000Z,2018-01-07T00:37:40.800000Z,1395.9526653358862,No
2018-01-07T00:54:36.680000Z,2018-01-07T00:56:57.640000Z,977.46617534861,No
2018-01-07T02:35:10.520000Z,2018-01-07T02:37:21.640000Z,914.6713020724251,No
2018-01-07T03:15:47.960000Z,2018-01-07T03:16:18.820000Z,943.5304731997413,No
