evol_id,esta_id_estacion,esta_code_estacion,evol_fecha,evol_fk_canal,evol_fecha_evento,evol_fecha_evento_p,evol_fecha_evento_s,evol_s_p,tevo_id_tipo,evol_coda,evol_amplitude_max,evol_amplitude_min,evol_unidad_amplitude,evol_rms,evol_polaridad,evol_peso,evol_frecuencia,evol_fk_estacion_canal,volc_id_volcan,evol_dr_cm2,evol_dr_sm2,evol_magnitud,evol_energia,evol_estado
1638301,97,BREF,1/25/2018 11:15:40,BHZ,1/19/2018 12:35:13,,,0.000000000000000,2,24.000000000000000,2124.782470703125000,-2078.811279296875000,cuentas,0.062063533812761,N,0,4.565429687500000,,62,,,,,1
1638302,97,BREF,1/25/2018 11:15:53,BHZ,1/19/2018 13:57:18,,,0.000000000000000,2,15.000000000000000,1311.216796875000000,-845.980102539062500,cuentas,0.177060127258301,N,0,4.345703125000000,,62,,,,,1
1638303,97,BREF,1/25/2018 11:16:05,BHZ,1/19/2018 14:06:10,,,0.000000000000000,2,25.000000000000000,1845.518310546875000,-1388.627685546875000,cuentas,0.283899635076523,N,0,5.249023437500000,,62,,,,,1
1638304,97,BREF,1/25/2018 11:16:19,BHZ,1/19/2018 14:46:38,,,0.000000000000000,2,31.000000000000000,18046.291015625000000,-18363.460937500000000,cuentas,0.039383284747601,N,0,7.177734375000000,,62,,,,,1
1638305,97,BREF,1/25/2018 11:16:28,BHZ,1/19/2018 15:37:05,,,0.000000000000000,2,11.000000000000000,2300.217773437500000,-1019.508117675781250,cuentas,0.465404659509659,N,0,6.005859375000000,,62,,,,,1
1638306,97,BREF,1/25/2018 11:16:41,BHZ,1/19/2018 16:29:10,,,0.000000000000000,2,13.000000000000000,2939.141357421875000,-719.432556152343750,cuentas,0.204325199127197,N,0,1.904296875000000,,62,,,,,1
1638307,97,BREF,1/25/2018 11:16:55,BHZ,1/19/2018 17:09:42,,,0.000000000000000,2,42.000000000000000,18381.136718750000000,-15619.321289062500000,cuentas,0.007282122969627,N,0,7.177734375000000,,62,,,,,1
1638308,97,BREF,1/25/2018 11:17:18,BHZ,1/19/2018 21:01:26,,,0.000000000000000,2,11.000000000000000,1055.792968750000000,-666.388183593750000,cuentas,0.316636085510254,N,0,4.150390625000000,,62,,,,,1
1638309,97,BREF,1/25/2018 11:17:52,BHZ,1/19/2018 21:57:41,,,0.000000000000000,2,14.000000000000000,380.430297851562500,-273.435028076171875,cuentas,28.714405059814453,N,0,3.906250000000000,,62,,,,,1
1638311,97,BREF,1/25/2018 11:18:11,BHZ,1/19/2018 23:07:30,,,0.000000000000000,0,31.000000000000000,747.485839843750000,-975.298461914062500,cuentas,0.280660599470139,N,0,6.396484375000000,,62,,,,,1
