Resultados

 Tiempo inicio de picado, Tiempo Fin de picado 
2018-01-04T06:45:13.080000Z, 2018-01-04T06:45:28.740000Z
2018-01-04T07:32:05.320000Z, 2018-01-04T07:32:26.760000Z
2018-01-04T07:32:47.740000Z, 2018-01-04T07:33:04.620000Z
2018-01-04T08:33:09.760000Z, 2018-01-04T08:35:41.580000Z
2018-01-04T08:47:57.440000Z, 2018-01-04T08:48:13.940000Z
2018-01-04T10:37:43.960000Z, 2018-01-04T10:38:01.200000Z
2018-01-04T13:12:54.900000Z, 2018-01-04T13:13:14.200000Z
2018-01-04T13:24:41.120000Z, 2018-01-04T13:24:58.880000Z
2018-01-04T23:56:35.760000Z, 2018-01-04T23:57:05.460000Z
2018-01-05T01:32:22.500000Z, 2018-01-05T01:32:47.080000Z
2018-01-05T02:19:24.980000Z, 2018-01-05T02:19:41.160000Z
2018-01-05T02:20:51.200000Z, 2018-01-05T02:21:05.640000Z
2018-01-05T03:32:31.220000Z, 2018-01-05T03:33:02.420000Z
2018-01-05T04:29:03.880000Z, 2018-01-05T04:29:22.960000Z
2018-01-05T05:59:28.540000Z, 2018-01-05T05:59:44.340000Z
2018-01-05T06:59:43.560000Z, 2018-01-05T07:00:16.520000Z
2018-01-05T07:12:52.720000Z, 2018-01-05T07:13:56.740000Z
2018-01-05T08:30:44.360000Z, 2018-01-05T08:31:00.400000Z
2018-01-05T14:22:53.920000Z, 2018-01-05T14:23:10.900000Z
2018-01-05T15:56:51.200000Z, 2018-01-05T15:57:41.520000Z
2018-01-05T17:22:20.700000Z, 2018-01-05T17:22:42.460000Z
2018-01-05T18:20:55.560000Z, 2018-01-05T18:21:17.260000Z
2018-01-05T18:59:01.360000Z, 2018-01-05T18:59:24.860000Z
2018-01-05T19:00:24.400000Z, 2018-01-05T19:00:42.920000Z
2018-01-05T19:35:00.500000Z, 2018-01-05T19:35:17.660000Z
2018-01-05T19:39:05.200000Z, 2018-01-05T19:39:25.600000Z
2018-01-06T00:31:42.120000Z, 2018-01-06T00:32:45.700000Z
2018-01-06T00:55:21.640000Z, 2018-01-06T00:57:53.500000Z
2018-01-06T02:14:47.740000Z, 2018-01-06T02:15:02.560000Z
2018-01-06T02:15:49.180000Z, 2018-01-06T02:16:06.280000Z
2018-01-06T07:32:14.600000Z, 2018-01-06T07:32:30.840000Z
2018-01-06T07:33:03.960000Z, 2018-01-06T07:33:19.740000Z
2018-01-06T07:34:38.440000Z, 2018-01-06T07:34:55.360000Z
2018-01-06T09:31:49.660000Z, 2018-01-06T09:31:56.380000Z
2018-01-06T09:34:35.000000Z, 2018-01-06T09:34:50.120000Z
2018-01-06T11:34:55.340000Z, 2018-01-06T11:35:14.500000Z
2018-01-06T13:09:09.820000Z, 2018-01-06T13:09:27.640000Z
2018-01-06T14:01:18.060000Z, 2018-01-06T14:02:49.180000Z
2018-01-06T14:22:36.820000Z, 2018-01-06T14:23:03.180000Z
2018-01-06T14:23:52.040000Z, 2018-01-06T14:24:00.980000Z
2018-01-06T15:41:46.780000Z, 2018-01-06T15:42:05.220000Z
2018-01-06T16:41:00.940000Z, 2018-01-06T16:41:49.640000Z
2018-01-06T17:13:31.880000Z, 2018-01-06T17:13:53.180000Z
2018-01-06T18:09:33.320000Z, 2018-01-06T18:10:58.460000Z
2018-01-06T19:26:22.120000Z, 2018-01-06T19:26:37.400000Z
2018-01-06T19:28:19.840000Z, 2018-01-06T19:28:37.360000Z
2018-01-06T19:30:55.520000Z, 2018-01-06T19:31:50.520000Z
2018-01-06T22:48:00.320000Z, 2018-01-06T22:48:22.400000Z
2018-01-07T00:37:22.480000Z, 2018-01-07T00:37:40.800000Z
2018-01-07T00:54:36.680000Z, 2018-01-07T00:56:57.640000Z
2018-01-07T02:35:10.520000Z, 2018-01-07T02:37:21.640000Z
2018-01-07T03:14:29.420000Z, 2018-01-07T03:14:45.680000Z
2018-01-07T03:15:47.960000Z, 2018-01-07T03:16:18.820000Z
2018-01-07T06:24:36.420000Z, 2018-01-07T06:24:54.260000Z
2018-01-07T06:45:00.020000Z, 2018-01-07T06:45:24.280000Z
2018-01-07T07:20:08.920000Z, 2018-01-07T07:20:25.900000Z
2018-01-07T09:14:06.220000Z, 2018-01-07T09:14:29.840000Z
2018-01-07T13:32:18.920000Z, 2018-01-07T13:32:36.700000Z
2018-01-07T16:15:18.740000Z, 2018-01-07T16:15:34.880000Z
2018-01-07T16:26:27.860000Z, 2018-01-07T16:26:48.280000Z
2018-01-07T17:54:46.560000Z, 2018-01-07T17:55:05.020000Z
2018-01-07T18:12:31.740000Z, 2018-01-07T18:12:51.700000Z
2018-01-07T22:28:08.380000Z, 2018-01-07T22:28:26.560000Z
2018-01-07T22:28:50.420000Z, 2018-01-07T22:29:03.460000Z
