Resultados

 Tiempo inicio de picado, Tiempo Fin de picado 
2018-01-12T23:40:09.200000Z, 2018-01-12T23:40:20.100000Z
2018-01-12T23:42:14.220000Z, 2018-01-12T23:42:32.480000Z
2018-01-13T05:48:35.020000Z, 2018-01-13T05:48:50.180000Z
2018-01-13T06:14:56.840000Z, 2018-01-13T06:15:55.840000Z
2018-01-13T06:39:08.880000Z, 2018-01-13T06:39:25.040000Z
2018-01-13T10:47:48.240000Z, 2018-01-13T10:48:05.180000Z
2018-01-13T10:49:42.140000Z, 2018-01-13T10:49:58.240000Z
2018-01-14T02:16:17.280000Z, 2018-01-14T02:16:30.860000Z
2018-01-14T02:17:42.600000Z, 2018-01-14T02:18:04.560000Z
2018-01-14T09:22:26.240000Z, 2018-01-14T09:23:33.320000Z
2018-01-14T10:33:01.900000Z, 2018-01-14T10:33:25.000000Z
2018-01-14T17:03:23.580000Z, 2018-01-14T17:03:42.380000Z
2018-01-14T17:23:20.680000Z, 2018-01-14T17:23:36.080000Z
2018-01-14T17:24:54.960000Z, 2018-01-14T17:25:21.420000Z
2018-01-14T18:02:48.440000Z, 2018-01-14T18:02:59.320000Z
2018-01-14T18:44:53.760000Z, 2018-01-14T18:45:07.560000Z
2018-01-14T18:46:17.280000Z, 2018-01-14T18:46:34.000000Z
2018-01-14T19:42:25.720000Z, 2018-01-14T19:42:42.420000Z
2018-01-14T20:02:43.740000Z, 2018-01-14T20:03:00.000000Z
2018-01-15T11:07:24.020000Z, 2018-01-15T11:07:40.020000Z
2018-01-15T12:13:53.820000Z, 2018-01-15T12:14:11.500000Z
2018-01-15T16:45:48.480000Z, 2018-01-15T16:46:04.540000Z
2018-01-15T16:47:17.120000Z, 2018-01-15T16:47:32.900000Z
2018-01-15T20:30:03.020000Z, 2018-01-15T20:30:18.960000Z
2018-01-15T21:12:56.080000Z, 2018-01-15T21:13:10.620000Z
2018-01-15T22:51:00.980000Z, 2018-01-15T22:51:18.560000Z
2018-01-16T00:25:46.020000Z, 2018-01-16T00:26:04.940000Z
2018-01-16T00:39:59.420000Z, 2018-01-16T00:40:18.420000Z
2018-01-16T05:30:04.120000Z, 2018-01-16T05:30:19.780000Z
2018-01-16T19:23:42.820000Z, 2018-01-16T19:23:59.040000Z
2018-01-16T19:24:06.520000Z, 2018-01-16T19:24:23.760000Z
2018-01-16T22:43:04.460000Z, 2018-01-16T22:43:24.520000Z
2018-01-17T00:01:20.780000Z, 2018-01-17T00:01:54.380000Z
2018-01-17T06:51:00.300000Z, 2018-01-17T06:51:15.640000Z
2018-01-17T07:13:20.760000Z, 2018-01-17T07:14:22.320000Z
2018-01-17T08:54:04.300000Z, 2018-01-17T08:54:18.300000Z
2018-01-17T08:54:42.080000Z, 2018-01-17T08:55:09.980000Z
2018-01-17T12:39:34.020000Z, 2018-01-17T12:39:50.860000Z
2018-01-17T20:23:39.920000Z, 2018-01-17T20:23:58.920000Z
2018-01-18T15:41:55.340000Z, 2018-01-18T15:42:11.720000Z
2018-01-18T15:50:29.180000Z, 2018-01-18T15:50:43.200000Z
2018-01-18T17:18:50.820000Z, 2018-01-18T17:19:05.300000Z
2018-01-18T19:18:33.240000Z, 2018-01-18T19:18:57.700000Z
2018-01-19T01:14:35.060000Z, 2018-01-19T01:15:16.540000Z
2018-01-19T12:35:14.820000Z, 2018-01-19T12:35:30.140000Z
2018-01-19T13:57:19.540000Z, 2018-01-19T13:57:34.680000Z
2018-01-19T14:46:39.300000Z, 2018-01-19T14:46:56.200000Z
2018-01-19T16:29:10.760000Z, 2018-01-19T16:29:29.460000Z
2018-01-19T17:09:43.040000Z, 2018-01-19T17:10:00.520000Z
2018-01-19T22:32:21.740000Z, 2018-01-19T22:33:36.180000Z
2018-01-20T02:03:56.500000Z, 2018-01-20T02:04:09.400000Z
2018-01-20T04:07:23.380000Z, 2018-01-20T04:07:41.320000Z
2018-01-20T05:12:16.640000Z, 2018-01-20T05:12:35.220000Z
2018-01-20T08:08:28.340000Z, 2018-01-20T08:08:40.400000Z
2018-01-20T09:36:26.960000Z, 2018-01-20T09:36:44.560000Z
2018-01-20T16:44:35.040000Z, 2018-01-20T16:44:54.200000Z
2018-01-20T17:53:23.820000Z, 2018-01-20T17:53:35.020000Z
2018-01-20T21:45:44.180000Z, 2018-01-20T21:45:59.620000Z
2018-01-20T22:07:09.560000Z, 2018-01-20T22:07:24.120000Z
2018-01-21T01:11:12.160000Z, 2018-01-21T01:12:25.740000Z
2018-01-21T07:31:54.600000Z, 2018-01-21T07:33:26.880000Z
2018-01-21T10:24:05.620000Z, 2018-01-21T10:24:27.200000Z
2018-01-21T10:28:40.680000Z, 2018-01-21T10:28:56.300000Z
2018-01-21T11:09:59.380000Z, 2018-01-21T11:10:17.080000Z
2018-01-21T11:52:25.440000Z, 2018-01-21T11:53:07.180000Z
2018-01-21T17:09:44.920000Z, 2018-01-21T17:10:02.120000Z
2018-01-21T21:21:30.840000Z, 2018-01-21T21:21:44.740000Z
2018-01-21T22:21:56.600000Z, 2018-01-21T22:22:17.080000Z
2018-01-22T00:55:55.640000Z, 2018-01-22T00:56:58.340000Z
2018-01-22T10:25:22.540000Z, 2018-01-22T10:25:38.440000Z
2018-01-22T19:18:10.480000Z, 2018-01-22T19:18:26.100000Z
2018-01-22T19:18:32.980000Z, 2018-01-22T19:18:46.900000Z
2018-01-23T09:43:52.220000Z, 2018-01-23T09:45:11.620000Z
2018-01-23T13:45:41.460000Z, 2018-01-23T13:46:11.560000Z
2018-01-23T13:46:34.060000Z, 2018-01-23T13:48:03.860000Z
2018-01-23T23:55:36.080000Z, 2018-01-23T23:56:51.580000Z
2018-01-25T15:02:28.980000Z, 2018-01-25T15:03:10.220000Z
2018-01-25T17:23:03.180000Z, 2018-01-25T17:23:20.460000Z
2018-01-25T19:02:57.400000Z, 2018-01-25T19:03:15.020000Z
2018-01-25T22:04:42.600000Z, 2018-01-25T22:05:17.840000Z
2018-01-26T01:35:13.660000Z, 2018-01-26T01:35:30.080000Z
2018-01-26T01:35:47.120000Z, 2018-01-26T01:36:02.720000Z
2018-01-26T07:32:39.400000Z, 2018-01-26T07:32:57.180000Z
2018-01-26T08:16:21.000000Z, 2018-01-26T08:16:33.540000Z
2018-01-26T11:26:32.300000Z, 2018-01-26T11:26:46.580000Z
2018-01-26T12:17:41.360000Z, 2018-01-26T12:18:23.600000Z
2018-01-27T01:58:51.900000Z, 2018-01-27T01:59:10.420000Z
2018-01-27T03:08:39.080000Z, 2018-01-27T03:08:53.680000Z
2018-01-27T03:08:58.820000Z, 2018-01-27T03:09:16.280000Z
2018-01-27T04:46:08.500000Z, 2018-01-27T04:47:08.540000Z
2018-01-27T06:49:46.980000Z, 2018-01-27T06:50:03.600000Z
2018-01-27T08:11:18.720000Z, 2018-01-27T08:11:38.800000Z
2018-01-27T16:39:33.840000Z, 2018-01-27T16:39:49.280000Z
2018-01-27T17:38:28.340000Z, 2018-01-27T17:38:44.940000Z
2018-01-27T17:57:05.340000Z, 2018-01-27T17:57:22.240000Z
2018-01-27T20:38:57.360000Z, 2018-01-27T20:39:22.300000Z
2018-01-28T05:32:57.440000Z, 2018-01-28T05:33:15.280000Z
2018-01-28T12:49:49.620000Z, 2018-01-28T12:50:11.500000Z
2018-01-28T15:44:01.740000Z, 2018-01-28T15:44:18.420000Z
2018-01-28T17:36:57.240000Z, 2018-01-28T17:38:05.180000Z
2018-01-28T19:06:48.440000Z, 2018-01-28T19:07:04.380000Z
2018-01-28T19:08:38.260000Z, 2018-01-28T19:08:50.820000Z
2018-01-28T19:45:57.140000Z, 2018-01-28T19:46:15.180000Z
2018-01-29T00:44:47.360000Z, 2018-01-29T00:46:01.420000Z
2018-01-29T01:12:06.960000Z, 2018-01-29T01:12:22.500000Z
2018-01-29T14:09:46.840000Z, 2018-01-29T14:10:15.880000Z
2018-01-29T18:24:57.280000Z, 2018-01-29T18:25:21.240000Z
